sourceid,dstid,month,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
192,125,06,2248.95,1117.38,2051.47,1.51
64,75,04,1717.9,524.24,1640.7,1.37
32,121,05,2769.98,676.36,2685.16,1.29
75,66,06,1998.79,789.02,1851.59,1.5
145,32,05,2776.36,838.07,2670.61,1.31
193,115,06,2805.27,891.47,2657.33,1.41
184,188,04,2903.07,680.09,2826.65,1.26
156,172,06,1319.65,706.62,1169.06,1.64
115,100,04,1504.83,512.67,1422.49,1.4
155,182,06,1596.76,842.42,1431.73,1.58
172,16,05,3134.46,1345.35,2851.96,1.56
171,26,05,4076.42,1342.16,3850.88,1.42
191,135,06,1924.69,777.72,1802.07,1.43
154,192,06,2365.21,1006.59,2156.08,1.59
